image,dice_people,iou_people,dice_vehicles,iou_vehicles
0016E5_07991,0.0001903560848512022,9.518710214764768e-05,0.006253932541422174,0.0031367748598967985
0016E5_08005,7.10437511100502e-05,3.552313740349127e-05,0.0050042920022642596,0.0025084224403103023
0016E5_08007,0.00011774957021405486,5.8878251551435e-05,0.003900653498109394,0.0019541379565827634
0016E5_08045,0.0006025776934664284,0.00030137964906010834,0.0331983856177736,0.016879376839540185
0016E5_08047,0.004254589658074038,0.0021318298596738902,0.034906012697620135,0.017763024528683245
0016E5_08049,0.001215385098959461,0.0006080620642658061,0.019346139028013416,0.009767551720783503
0016E5_08051,0.0017938846673249155,0.0008977475614552693,0.007230796620149872,0.0036285168437398714
0016E5_08089,0.026706704989060498,0.013534077806164361,0.041998321180181854,0.02144958384586078
0016E5_08091,0.03185423757644565,0.01618489757446657,0.044135974078262995,0.022565972630670533
0016E5_08105,0.029127034243407648,0.014778747666380498,0.04304265653260642,0.021994683060562882
0016E5_08107,0.01716791306627301,0.008658278822198029,0.04977694448359534,0.025523718603775183
0016E5_08145,0.0012932027139541658,0.0006470197208065474,0.03131750007177437,0.015907847036236746
0016E5_08147,0.0012474208612794407,0.0006240996881249629,0.033235179906350255,0.0168984006459744
0016E5_08149,0.0013218005939337185,0.0006613373750344148,0.03174828354476367,0.016130194770992704
0016E5_08151,0.001797018728137723,0.0008993174091822819,0.0008136066018363475,0.00040696885719265064
0016E5_08610,0.026188604450013177,0.013268037923509876,0.0014472033379043883,0.0007241256474792413
0016E5_08640,0.020652547818241666,0.010434018441520795,0.001281640499839723,0.0006412311638345263
Seq05VD_f00180,8.354218880533798e-05,4.1772839299882854e-05,0.015608536736012583,0.007865654043048132
Seq05VD_f00210,6.747183051075606e-05,3.37370534057527e-05,0.02101381295894795,0.010618473790545986
Seq05VD_f00780,0.0004575306688526029,0.0002288176799793846,0.0003787093225611229,0.0001893905232589429
Seq05VD_f00810,0.005803918184171603,0.002910404968245052,0.00023190474066804337,0.00011596581684536262
Seq05VD_f00840,0.0,0.0,0.00045867010462634133,0.00022938765894393458
Seq05VD_f00870,0.00034139247161319266,0.0001707253779859752,0.0003164206496115686,0.00015823535927337072
Seq05VD_f01440,0.0,0.0,0.0172832654725423,0.008716961516270973
Seq05VD_f01470,0.0019166199342668987,0.0009592292060423653,0.11662051478265191,0.061920879832241316
Seq05VD_f01680,0.0008673347965200376,0.0004338555472664225,8.563256777817007e-05,4.281811720174674e-05
Seq05VD_f01710,0.0014294687141278384,0.0007152455676448527,3.157637140127793e-05,1.5788434971382215e-05
Seq05VD_f02280,0.014382831509475563,0.007243506823830225,0.0020903763398229603,0.001046281731199324
Seq05VD_f02310,0.0035857224967172927,0.0017960813730512888,0.0017662136256918195,0.000883887379812811
Seq05VD_f02340,0.0021418435918715887,0.0010720698989573544,0.004897069542633172,0.0024545448096307218
Seq05VD_f02370,0.0020303809101448497,0.001016222114062855,0.030543841169047643,0.015508769277290302
Seq05VD_f02940,0.00037104957079551803,0.00018555921123060117,0.007033561119576949,0.003529191953442102
Seq05VD_f02970,0.0035046258375516287,0.0017553889094393006,0.011202550734628003,0.00563282637895882
Seq05VD_f03180,0.0,0.0,0.002394538906429299,0.001198704625646363
Seq05VD_f03210,0.0,0.0,0.005479485790276961,0.0027472697078014586
Seq05VD_f03780,0.00017089942568797493,8.54570151213901e-05,0.014562893991600052,0.007334855356298776
Seq05VD_f03810,0.0,0.0,0.0006804323362382203,0.00034033195455257655
Seq05VD_f03840,0.0,0.0,0.00013045927595101072,6.523389315873984e-05
Seq05VD_f03870,0.0,0.0,0.0003592071318943082,0.0001796358291826472
Seq05VD_f04440,0.015167243851513702,0.007641572724215478,0.0084092379845661,0.004222372459719681
Seq05VD_f04470,0.05526741901810649,0.02841903280614655,0.00017695076577771364,8.84832114748713e-05
Seq05VD_f04680,0.00016446952253231417,8.22415243782805e-05,0.0,0.0
Seq05VD_f04710,0.0023937699804662984,0.0011983192405456658,0.00021128248468200495,0.00010565240359217427
