image,dice_people,iou_people,dice_vehicles,iou_vehicles
Seq05VD_f02940,0.017457074842565222,0.008805395646693978,0.010061768076245627,0.005056321806792216
Seq05VD_f02970,0.028551943623550267,0.014482726811493657,0.01730387485278353,0.008727446749561135
Seq05VD_f03180,0.0005125651384863386,0.00025634826683561496,0.0029249268768280112,0.0014646053702196567
Seq05VD_f03210,0.0,0.0,0.014354095650037611,0.0072289302028080826
Seq05VD_f03780,0.003812710864854399,0.0019099965647543361,0.06408044031075665,0.03310077631585216
Seq05VD_f03810,0.0,0.0,0.02812691079556969,0.014264057331862947
Seq05VD_f03840,0.0,0.0,0.006689950793523849,0.0033562018092404017
Seq05VD_f03870,0.0,0.0,0.007890656026021485,0.003960955280838518
Seq05VD_f04440,0.024439909097437065,0.012371129185076492,0.02157105558383357,0.010903123735990013
Seq05VD_f04470,0.08899127009812755,0.04656769417411145,0.002302716688227635,0.0011526854981802862
Seq05VD_f04680,0.004711869798017182,0.0023614984355869446,0.00271503479359385,0.0013593627553859192
Seq05VD_f04710,0.015000741562082517,0.007557051469070702,0.004109564204889895,0.0020590129253526654
